bioguide_id,full_name,communication_count,attack_personal,outcome_bipartisanship,attack_personal_pct,outcome_bipartisanship_pct,attack_personal_norm,outcome_bipartisanship_norm,attack_personal_pct_norm,outcome_bipartisanship_pct_norm
H001052,Andy Harris,170.0,2.0,2.0,1.1764705882352942,1.1764705882352942,31.1800069324024,16.216277000614294,26.03374521170799,8.406270821272471
H001058,Bill Huizenga,183.0,2.0,35.0,1.092896174863388,19.12568306010929,31.1800069324024,74.28346291565632,25.353398333536997,99.834010401244
H001061,John Hoeven,321.0,0.0,25.0,0.0,7.78816199376947,28.613247652723473,56.191698732131215,17.376426176168696,58.35940662901206
H001066,Steven Horsford,143.0,4.0,11.0,2.797202797202797,7.6923076923076925,33.84160303869421,29.495798096473848,40.78692117563861,57.458312740859604
H001067,Richard Hudson,333.0,10.0,21.0,3.003003003003003,6.306306306306306,42.27370068126419,48.29783509252229,42.81603002574292,44.230858638469904
H001068,Jared Huffman,483.0,17.0,58.0,3.5196687370600417,12.008281573498964,52.550664137511106,96.35573595594268,47.98266325943943,88.98156774728764
H001072,J. Hill,371.0,3.0,48.0,0.8086253369272237,12.93800539083558,32.499640115792296,90.27309296634101,23.1110182472752,92.6336759990743
H001076,Margaret Hassan,463.0,56.0,66.0,12.095032397408207,14.254859611231103,93.40032407721037,98.57585640197041,98.2781070057178,96.12677756983265
H001077,Clay Higgins,104.0,8.0,0.0,7.6923076923076925,0.0,39.401834534579116,13.89910528004159,84.20956231539888,4.835093020139322
H001079,Cindy Hyde-Smith,208.0,2.0,13.0,0.9615384615384616,6.25,31.1800069324024,33.00763924499962,24.303246336637162,43.69708014615702
H001081,Jahana Hayes,384.0,1.0,32.0,0.26041666666666663,8.333333333333332,29.88410532808442,69.25972385186901,19.115930462060437,63.388002971780026
H001082,Kevin Hern,251.0,10.0,8.0,3.9840637450199203,3.187250996015936,42.27370068126419,24.577639682883927,52.65828719065095,18.54225221040104
H001085,Chrissy Houlahan,322.0,24.0,22.0,7.453416149068323,6.832298136645963,62.65974824425833,50.27717851067543,82.71037528827607,49.25488566853794
H001086,Diana Harshbarger,223.0,2.0,6.0,0.8968609865470852,2.690582959641256,31.1800069324024,21.561260880381887,23.794952104092516,15.522388048489255
H001089,Josh Hawley,,15.27,21.86,3.72,6.91,50.0,50.0,50.0,50.0
H001090,Josh Harder,73.0,1.0,5.0,1.36986301369863,6.8493150684931505,29.88410532808442,20.137370370957736,27.643368312625643,49.41805465525082
