,Name,Chamber,bioguide_id,State,District,Party,A: num_bills_with_cross_party_cosponsors,norm_A,B: num_cross_party_cosponsored_bills,norm_B,C: outcome_bipartisanship,norm_C,D: outcome_bipartisanship_pct,norm_D,E: attack_personal,norm_E,F: attack_personal_pct,norm_F,G: Vote for Cosponsored Bill,norm_G,H: Vote for Other Party,norm_H,party letter,M: 2025 Cook PVI Number,norm_M,N: nominate_dim1,norm_N,score_T,score_S,norm_S,Grade
440,Kirsten E. Gillibrand,Senate,G000555,New York,,Democratic,6.0,55.01,19.0,51.57,51.0,60.014130524388776,17.17171717171717,96.89418074944237,1.0,75.04034628523107,0.3367003367003366,81.72844362766361,1.0,20.578377338260168,1.0,77.44026148862528,D,7.69,44.09421457051246,-0.467,13.47001951611842,493.9382801332023,519.0447797785617,81.16210669028881,B
450,Charles E. Schumer,Senate,S000148,New York,,Democratic,1.0,15.57,9.0,20.93,151.0,99.9592680396934,7.688391038696538,43.43827523118825,221.0,0.015246945636893106,11.25254582484725,19.454925589180828,1.0,20.578377338260168,1.0,77.44026148862528,D,7.69,44.09421457051246,-0.354,19.673724001540617,309.0166892949317,325.68229202710097,22.46070640771589,C
472,Ted Budd,Senate,B001305,North Carolina,,Republican,4.0,37.09,12.0,28.97,28.0,32.35046742116564,18.181818181818183,98.13177914938609,1.0,75.04034628523107,0.6493506493506493,80.35787966471615,3.0,78.95549716117105,0.0,26.880262246198537,R,1.4,11.5329225064498,0.633,90.98773275355475,378.8632847027008,400.4686412550477,45.13741206314582,C
476,Thomas Tillis,Senate,T000476,North Carolina,,Republican,5.45,50.03,18.54,50.01,14.0,18.644068363171073,5.363984674329502,25.36786262828441,6.0,71.84800146510678,2.2988505747126435,72.15877217426839,3.0,78.95549716117105,0.0,26.880262246198537,R,1.4,11.5329225064498,0.388,78.68547960182603,376.8462496312908,396.0185521693285,43.64610967129391,C
481,Kevin Cramer,Senate,C001096,North Dakota,,Republican,2.0,21.64,25.0,70.82,15.0,19.48535904628688,6.493506493506493,33.684443105342744,0.0,75.65492745488088,0.0,83.13583541209483,3.0,78.95549716117105,0.0,26.880262246198537,R,18.33,94.82071069515767,0.4,79.45247832632762,352.93085111272904,400.4166206408482,45.11993512840221,C
487,John Hoeven,Senate,H001061,North Dakota,,Republican,4.0,37.09,16.0,41.48,25.0,29.090507753003475,7.78816199376947,44.28045130299373,0.0,75.65492745488088,0.0,83.13583541209483,3.0,78.95549716117105,0.0,26.880262246198537,R,18.33,94.82071069515767,0.397,79.26228110867736,364.59133446630403,413.6113143348229,49.57395775946327,B
494,Jon Husted,Senate,H001104,Ohio,,Republican,0.0,10.75,2.0,8.04,42.8,50.0,8.46,50.0,8.46,70.20818225322733,5.93,50.0,2.0,49.67566025565114,0.0,26.880262246198537,R,5.27,29.027290164569518,0.01,48.22750675428802,243.1334169182036,256.0537804130995,8.890980478109261,F
495,Bernie Moreno,Senate,M001242,Ohio,,Republican,0.0,10.75,7.0,16.4,42.8,50.0,8.46,50.0,8.46,70.20818225322733,5.93,50.0,3.0,78.95549716117105,0.0,26.880262246198537,R,5.27,29.027290164569518,0.01,48.22750675428802,280.7732538237235,295.69383753051864,15.59682133444814,F
496,James Lankford,Senate,L000575,Oklahoma,,Republican,12.0,93.21,22.0,61.55,40.0,46.54813534945343,7.858546168958743,44.876152536168654,1.0,75.04034628523107,0.1964636542239685,82.32331027656106,3.0,78.95549716117105,0.0,26.880262246198537,R,17.34,92.8189305930386,0.592,89.41471419485303,505.21752016496566,574.6982101894362,91.24639808657919,A
503,Markwayne Mullin,Senate,M001190,Oklahoma,,Republican,3.0,28.88,6.0,14.39,36.0,41.6679291709661,4.09556313993174,17.500525100655,33.0,52.082384181757945,3.754266211604096,63.76035484658175,3.0,78.95549716117105,0.0,26.880262246198537,R,17.34,92.8189305930386,0.535,86.91160168214094,292.5078930349826,332.36932760068197,24.19671695331802,C
