,Name,Chamber,bioguide_id,Party,2025 Cook PVI Party,2025 Cook PVI Number,PVI Party Difference
154,Michael K. Simpson,House,S001148,Republican,R,13,False
157,Jonathan L. Jackson,House,J000309,Democratic,D,18,False
158,Robin L. Kelly,House,K000385,Democratic,D,18,False
159,Delia C. Ramirez,House,R000617,Democratic,D,17,False
160,"Jesús G. ""Chuy"" García",House,G000586,Democratic,D,17,False
161,Mike Quigley,House,Q000023,Democratic,D,19,False
162,Sean Casten,House,C001117,Democratic,D,3,False
163,Danny K. Davis,House,D000096,Democratic,D,34,False
164,Raja Krishnamoorthi,House,K000391,Democratic,D,5,False
165,Janice D. Schakowsky,House,S001145,Democratic,D,19,False
166,Bradley Scott Schneider,House,S001190,Democratic,D,12,False
167,Bill Foster,House,F000454,Democratic,D,6,False
168,Mike Bost,House,B001295,Republican,R,22,False
169,Nikki Budzinski,House,B001315,Democratic,D,5,False
170,Lauren Underwood,House,U000040,Democratic,D,3,False
171,Mary E. Miller,House,M001211,Republican,R,20,False
172,Darin LaHood,House,L000585,Republican,R,11,False
173,Eric Sorensen,House,S001225,Democratic,D,3,False
176,Frank J. Mrvan,House,M001214,Democratic,D,1,False
177,Rudy Yakym,House,Y000067,Republican,R,13,False
178,Marlin A. Stutzman,House,S001188,Republican,R,16,False
179,James R. Baird,House,B001307,Republican,R,15,False
180,Victoria Spartz,House,S000929,Republican,R,8,False
181,Jefferson Shreve,House,S001229,Republican,R,16,False
182,André Carson,House,C001072,Democratic,D,21,False
183,Mark Messmer,House,M001233,Republican,R,18,False
184,Erin Houchin,House,H001093,Republican,R,15,False
187,Mariannette Miller-Meeks,House,M001215,Republican,R,4,False
188,Ashley Hinson,House,H001091,Republican,R,4,False
189,Zachary Nunn,House,N000193,Republican,R,2,False
190,Randy Feenstra,House,F000446,Republican,R,15,False
193,Tracey Mann,House,M000871,Republican,R,16,False
194,Derek Schmidt,House,S001228,Republican,R,10,False
